idcliente,idLojista,IdEnderecoLoja_Retira,IdEnderecoLojaRetirada_Retira,IdSku_Retira,User_Retira,Senha_Retira,IdClienteEnderecoSelecionado_Retira
31210759,10037,1883,1883,55004131,user_automacao_cb_228ff38cd6a196s14084@vvtest.com,123456,34613536
31210760,10037,1883,1883,55020787,user_automacao_cb_228ff38ce9184cs5491@vvtest.com,123456,34613537
31210761,10037,16370,16370,15003651,user_automacao_cb_228ff38cfc7937s25239@vvtest.com,123456,34613538
31210762,10037,1883,1883,55010705,user_automacao_cb_228ff38d10c46es19900@vvtest.com,123456,34613539
31210763,10037,16370,16370,13352664,user_automacao_cb_228ff38d213f4fs8092@vvtest.com,123456,34613540
31210764,10037,1883,1883,55011077,user_automacao_cb_228ff38d34a01as9867@vvtest.com,123456,34613541
31210765,10037,1883,1883,15215550,user_automacao_cb_228ff38d45900es5984@vvtest.com,123456,34613542
31210766,10037,1883,1883,55018480,user_automacao_cb_228ff38d5c9a6bs12366@vvtest.com,123456,34613543
31210767,10037,1883,1883,22249,user_automacao_cb_228ff38d6bb59es3881@vvtest.com,123456,34613544
31210768,10037,1883,1883,55022725,user_automacao_cb_228ff38d7e7a4as1095@vvtest.com,123456,34613545
31210769,10037,1883,1883,11663776,user_automacao_cb_228ff38d8ef527s5603@vvtest.com,123456,34613546
31210770,10037,1883,1883,55018629,user_automacao_cb_228ff38d9f48e0s28658@vvtest.com,123456,34613547
31210771,10037,1883,1883,12662029,user_automacao_cb_228ff38db78ba2s19248@vvtest.com,123456,34613548
31210772,10037,1883,1883,15003638,user_automacao_cb_228ff38dca7770s31509@vvtest.com,123456,34613549
31210773,10037,1883,1883,55026614,user_automacao_cb_228ff38ddaf304s17723@vvtest.com,123456,34613551
31210774,10037,1883,1883,13609912,user_automacao_cb_228ff38dec5756s16242@vvtest.com,123456,34613552
31210775,10037,16370,16370,13387428,user_automacao_cb_228ff38dfe0a91s27950@vvtest.com,123456,34613553
31210776,10037,1883,1883,50001246,user_automacao_cb_228ff38e1e3cccs30794@vvtest.com,123456,34613554
31210777,10037,1883,1883,4132,user_automacao_cb_228ff38e2f7aecs10590@vvtest.com,123456,34613555
31210778,10037,16370,16370,410960,user_automacao_cb_228ff38e46fa6as8605@vvtest.com,123456,34613556
31210779,10037,1883,1883,9600823,user_automacao_cb_228ff38e53cbcfs30853@vvtest.com,123456,34613557
31210780,10037,1883,1883,15139528,user_automacao_cb_228ff38e66dea6s8177@vvtest.com,123456,34613558
31210781,10037,1883,1883,55013109,user_automacao_cb_228ff38e7f2199s24012@vvtest.com,123456,34613559
31210782,10037,1883,1883,55003905,user_automacao_cb_228ff38e90adb2s27872@vvtest.com,123456,34613560
31210783,10037,1883,1883,50004475,user_automacao_cb_228ff38ea4aaf0s17807@vvtest.com,123456,34613561
31210784,10037,1883,1883,55019399,user_automacao_cb_228ff38eaf5953s30055@vvtest.com,123456,34613562
31210786,10037,16370,16370,14951640,user_automacao_cb_228ff38ec5796ds25618@vvtest.com,123456,34613563
31210787,10037,1883,1883,12366322,user_automacao_cb_228ff38edbc09es26420@vvtest.com,123456,34613564
31210788,10037,16370,16370,29175,user_automacao_cb_228ff38ee8dfbbs26015@vvtest.com,123456,34613565
31210789,10037,16370,16370,55009428,user_automacao_cb_228ff38f00d47fs12699@vvtest.com,123456,34613566
31210790,10037,1883,1883,55011473,user_automacao_cb_228ff38f0c465fs21849@vvtest.com,123456,34613567
31210791,10037,1883,1883,55015219,user_automacao_cb_228ff38f21a310s19114@vvtest.com,123456,34613568
31210792,10037,1883,1883,2532527,user_automacao_cb_228ff38f35c72as30692@vvtest.com,123456,34613569
31210793,10037,1883,1883,13551537,user_automacao_cb_228ff38f46b734s11341@vvtest.com,123456,34613570
31210794,10037,1883,1883,50005462,user_automacao_cb_228ff38f5d9a98s9735@vvtest.com,123456,34613571
31210795,10037,1883,1883,3073308,user_automacao_cb_228ff38f69cfa3s14580@vvtest.com,123456,34613572
31210796,10037,1883,1883,6882934,user_automacao_cb_228ff38f7e4218s8974@vvtest.com,123456,34613573
31210797,10037,1883,1883,332148,user_automacao_cb_228ff38f9266bas31246@vvtest.com,123456,34613574
31210798,10037,1883,1883,50003849,user_automacao_cb_228ff38fa3f2c4s4496@vvtest.com,123456,34613575
31210799,10037,1883,1883,55018628,user_automacao_cb_228ff38fb88bces27073@vvtest.com,123456,34613576
31210800,10037,1883,1883,50004463,user_automacao_cb_228ff38fc70acas24144@vvtest.com,123456,34613577
31210801,10037,1883,1883,50005138,user_automacao_cb_228ff38fdab9des30564@vvtest.com,123456,34613578
31210802,10037,1883,1883,55011078,user_automacao_cb_228ff38fed5796s24289@vvtest.com,123456,34613579
31210803,10037,16370,16370,55011057,user_automacao_cb_228ff390021802s19243@vvtest.com,123456,34613580
31210804,10037,1883,1883,4419319,user_automacao_cb_228ff390144058s25892@vvtest.com,123456,34613581
31210805,10037,16370,16370,55006855,user_automacao_cb_228ff390283d81s4778@vvtest.com,123456,34613582
31210806,10037,1883,1883,55005416,user_automacao_cb_228ff39037cdfcs13876@vvtest.com,123456,34613584
31210808,10037,1883,1883,13341546,user_automacao_cb_228ff3904f74afs26557@vvtest.com,123456,34613585
31210809,10037,1883,1883,3551588,user_automacao_cb_228ff390614f88s20930@vvtest.com,123456,34613586
31210810,10037,16370,16370,50005135,user_automacao_cb_228ff390730267s31480@vvtest.com,123456,34613587
31210811,10037,16370,16370,50005646,user_automacao_cb_228ff3908d8f25s12670@vvtest.com,123456,34613588
31210812,10037,1883,1883,55006170,user_automacao_cb_228ff390a3fd28s9286@vvtest.com,123456,34613589
31210814,10037,16370,16370,14023,user_automacao_cb_228ff390b7854bs3307@vvtest.com,123456,34613590
